标号,招标项目,时间,跳转链接
['440200-202009-217008-0011'],['韶关市公安局新区分局建设刑侦电子物证实验室项目公开招标公告'],['[2020-11-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20130']
['GZQS2020HT10015'],['广州某部军事职业教育学习室采购项目竞争性谈判公告'],['[2020-11-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20125']
['GZQS2020HC10046'],['联网式无线火灾报警器竞争性磋商公告'],['[2020-11-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20123']
['GZQS2001HC09011M'],['兴宁市永和镇林场村分布式光伏发电扶贫项目（四期）招标公告'],['[2020-11-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20122']
['GZQS2001FG10050Q'],['郁南县农村信用合作联社2020年员工集中健康体检项目招标公告'],['[2020-11-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20121']
['GZQS2020HX10075'],['广州城市职业学院2020年劳动保护用品采购项目询价公告'],['[2020-11-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20118']
['GZQS2020FG10048W'],['广州市增城区正果镇社工服务站（家庭综合服务中心）采购项目(西片区)公开招标公告'],['[2020-11-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20116']
['GZQS2020HC10040'],['红山街三防物资采购项目竞争性磋商公告'],['[2020-11-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20113']
['GZQS2020FC10032'],['2020年度广州市公安局番禺区分局交警大队本地媒体宣传项目竞争性磋商公告'],['[2020-11-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20111']
['GZQS2020FC10044'],['广东省阳春监狱罪犯生活区直饮水维保服务项目竞争性磋商公告'],['[2020-11-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20110']
['GZQS2020HC10003'],['广州城市职业学院2020年体育实训耗材设备采购项目成交公告'],['[2020-11-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20109']
['GZQS2020CC10035'],['广州市真光中学校本部东门门楼排危改造设计施工一体化工程项目（第二次）竞争性磋商公告'],['[2020-11-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20108']
['GZQS2020HG10074Z'],['肇庆市第二人民医院母婴转运救护车采购项目公开招标公告'],['[2020-10-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20105']
['QSFG202000253'],['乌伦古湖流域污染源及水文水质现状监测项目公开招标公告'],['[2020-10-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20100']
['QSFG202000261'],['乌伦古湖流域氟化物超标成因分析项目公开招标公告'],['[2020-10-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20099']
['GZQS2020HC10069'],['广州市黄埔区镇龙中学人工智能科创室专用装备采购项目竞争性磋商公告'],['[2020-10-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20098']
['GZQS2020HG10022M'],['广东平远农村商业银行股份有限公司2020年工作服采购项目招标公告'],['[2020-10-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20094']
['GZQS2020FG10058'],['北大荒（大湾区）生态产业城项目第三方检测服务公开招标公告'],['[2020-10-29]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20092']
['GZQS2020HC10061SH'],['韶关市房地产管理所2020年度消防器材采购项目竞争性磋商公告'],['[2020-10-29]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20091']
['GZQS2020FG10012'],['知识城征拆安置、收储等项目服务公开招标公告'],['[2020-10-29]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20089']
['GZQS2001FC08044'],['广州市荔湾区东沙街东塱股份合作经济联合社不良地质评估项目竞争性磋商公告'],['[2020-10-29]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20087']
['GZQS2001FC08043'],['广州市荔湾区东沙街东塱村旧村改造项目环境影响专题评估项目竞争性磋商公告'],['[2020-10-29]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20086']
['GZQS2020HC10063'],['广州市黄埔区玉泉学校人工智能科创室专用装备采购项目竞争性磋商公告'],['[2020-10-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20085']
['440000-202010-199092-0007'],['广东省德庆林场森林生态综合示范园登山步道和红包大道（一期）工程项目（二次）竞争性磋商公告'],['[2020-10-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20084']
['QSGG202000113'],['广东省兴龙实业公司企业文化阵地建设及设施配套项目（第三次）公开招标公告'],['[2020-10-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20083']
['441225-202010-715083-0002'],['封开县渔涝镇、长岗镇污水处理厂水质自动监测设备采购项目 公开招标公告'],['[2020-10-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20081']
['GZQS2020FC10018'],['网络及安防设施维护服务竞争性磋商公告'],['[2020-10-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20072']
['GZQS2020FC10049Q'],['英德市环境空气质量自动监测站城北子站点位调整监测技术服务项目磋商公告'],['[2020-10-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20069']
['QSFG202000262'],['气候变化对乌伦古湖流域农业面源污染影响分析项目公开招标公告'],['[2020-10-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20068']
['GZQS2001HG08034'],['广东省广业环保产业集团有限公司2020年度氯酸钠、盐酸集中采购项目（第三次）公开招标公告'],['[2020-10-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20065']
['GZQS2020FC10021'],['广州市黄埔区中央、省生态环境保护督察反馈问题和交办案件整改评估项目竞争性磋商公告'],['[2020-10-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20062']
['GZQS2020HG10014M'],['梅州市“南粤家政”综合服务示范基地宣传展览展示服务项目（采购编号：GZQS2020HG10014M）公开招标公告'],['[2020-10-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20064']
['GZQS2020FG10039M'],['梅州市“南粤家政”综合服务示范基地家政服务网络平台项目（采购编号：GZQS2020FG10039M）公开招标公告'],['[2020-10-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20063']
['GZQS2020GC09077HZ'],['2020年化州市绿美红色乡村项目 竞争性磋商公告'],['[2020-10-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20059']
['GZQS2020HC10034'],['中华人民共和国天河出入境边防检查站5楼会议室音频设备竞争性磋商公告'],['[2020-10-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20058']
['GZQS2020FC10033'],['中华人民共和国天河出入境边防检查站技术资料管理系统项目竞争性磋商公告'],['[2020-10-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20057']
['QSHG202000268'],['广州市公安局黄埔区分局无人机矩阵项目（第二次）公开招标公告'],['[2020-10-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20055']
['GZQS2001FG09062'],['港珠澳大桥海事局海巡船运行服务外包项目公开招标公告'],['[2020-10-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20054']
['441200-202010-887895-0022'],['黑木相思优良无性系苗木繁育项目竞争性磋商公告'],['[2020-10-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20049']
['GZQS2020HG10051SH'],['韶关市武江区应急管理局抗疫国债应急防疫物资采购项目公开招标公告'],['[2020-10-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20048']
['440000-202010-199092-0009'],['广东省德庆林场森林生态综合示范园康养植物园、滨江综合栈道和水源保护区生态林带建设项目竞争性磋商公告'],['[2020-10-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20047']
['GZQS2001HG09033'],['黄埔区水务系统防汛物资购置项目（二）公开招标公告'],['[2020-10-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20046']
['GZQS2020FG10007X'],['广州市污染地块修复后再开发安全利用技术评估项目服务项目公开招标公告'],['[2020-10-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20045']
['GZQS2001HC08058W'],['广州市增城区新塘镇人民政府消防装备采购项目重启公告'],['[2020-10-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20042']
['GZQS2001FG09070'],['广州市公安局花都区分局解剖室采购及安装项目公开招标公告'],['[2020-10-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20041']
['GZQS2020FC09093Z'],['黑木相思优良无性系推广与示范项目竞争性磋商公告'],['[2020-10-22]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20043']
['GZQS2020HC10015'],['广州某部军事职业教育学习室采购项目竞争性磋商公告'],['[2020-10-22]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20038']
['GZQS2020HG10013S'],['购置泡沫消防车采购公告'],['[2020-10-22]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20035']
['GZQS2020FG09083'],['广东省从化监狱监舍区罪犯饮水及洗澡热水设施设备维保服务采购项目公开招标公告'],['[2020-10-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20030']
['GZQS2020FC10010HZ'],['2020年化州市石龙山森林公园营造防火林带建设项目 竞争性磋商采购公告'],['[2020-10-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20029']
['GZQS2020FC10025SH'],['韶关市妇幼保健院新院区发热门诊规范化改扩建（装修）工程定点采购供应商资格选取项目竞争性磋商公告'],['[2020-10-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20028']
['441283-202010-307-0052'],['2020年度肇庆市高要区大湾镇都棠村、䘵岸村、朗第村、棠孔村拆旧复垦项目竞争性磋商公告'],['[2020-10-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20027']
['441283-202010-307-0049'],['2020年度肇庆市高要区大湾镇大江洞村、孝友村、合成村、小唐村、大田村拆旧复垦项目竞争性磋商公告'],['[2020-10-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20026']
['41283-202010-307-0050'],['2020年度肇庆市高要区大湾镇白丈村、高熊村、龙冲社区、高第村、古西村拆旧复垦项目竞争性磋商公告'],['[2020-10-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20025']
['GZQS2001FG08067W'],['广州市增城区中医医院供应室消毒灭菌服务移交第三方运作项目公开招标公告'],['[2020-10-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20024']
['GZQS2020HG10041X'],['乳源瑶族自治县人民医院疫情防控救治体系建设发热门诊设备采购项目(项目编号：GZQS2020HG10041X）公开招标公告'],['[2020-10-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20021']
['GZQS2020HC10040'],['红山街三防物资采购项目意见征集公告'],['[2020-10-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20016']
['GZQS2020FC10024SH'],['韶关市第一中学足球场及运动场改造工程（足球场）定点采购供应商资格选取项目竞争性磋商公告'],['[2020-10-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20014']
[''],['韶关市浈江区新韶镇东联村村民委员会综合楼工程施工招标公告'],['[2020-10-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20013']
['GZQS2020HC10027'],['广州市黄埔军校纪念中学人工智能科创室专用装备采购项目竞争性磋商公告'],['[2020-10-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20011']
['GZQS2020GC09086S'],['广东省南丰强制隔离戒毒所铺设天然气管道工程竞争性磋商公告'],['[2020-10-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20010']
['GZQS2020CC10035'],['广州市真光中学校本部东门门楼排危改造设计施工一体化工程项目竞争性磋商公告'],['[2020-10-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20006']
['GZQS2001FC09035Z'],['肇庆医学高等专科学校资源库用户管理中心系统采购项目竞争性磋商公告'],['[2020-10-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20003']
['GZQS2020FC09085Z'],['广宁县第四小学教学信息化建设服务采购项目 竞争性磋商公告'],['[2020-10-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20001']
['OSJY-ZXZB-20200910、GZQS2020GG10036'],['揭阳市绿源垃圾综合处理与资源利用厂WTE及MBT部分精装修工程公开招标公告'],['[2020-10-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20000']
['GZQS2001FG09059'],['国家知识产权局专利局专利审查协作广东中心2020-2021年员工体检项目公开招标公告'],['[2020-10-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19999']
['440000-202010-199092-0008'],['广东省德庆林场森林生态综合示范园配套设施 公开招标公告'],['[2020-10-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19998']
['GZQS2020HC10003'],['广州城市职业学院2020年体育实训耗材设备采购项目竞争性磋商公告'],['[2020-10-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19997']
['GZQS2001HG09004'],['广州市黄埔区城市管理和综合执法局2020年环卫设备采购项目公开招标公告'],['[2020-10-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19994']
['440000-202010-199092-0007'],['广东省德庆林场森林生态综合示范园登山步道和红包大道（一期）工程项目竞争性磋商公告'],['[2020-10-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19991']
['GZQS2020HC10023Z'],['肇庆市高要区第二小学校园监控设备采购项目 竞争性磋商公告'],['[2020-10-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19990']
['GZQS2001FG09034、OSJY-FHZB-20200811'],['揭阳市绿源垃圾综合处理与资源利用厂飞灰固化物运输及处理服务项目（A标段）（第二次）公开招标公告'],['[2020-10-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19989']
['GZQS2020GC10004SH'],['韶关学院行政楼主电力电缆电源线路更换工程竞争性磋商公告'],['[2020-10-14]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19984']
['GZQS2020HC10006'],['广州市黄埔区九佛中学学生桌椅采购项目竞争性磋商公告'],['[2020-10-13]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19977']
['GZQS2001HG09054'],['广东省东莞监狱采购服刑人员2020年物资（毛巾、袜子）项目公开招标公告'],['[2020-10-13]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19976']
['GZQS2020HC10011'],['广州市黄埔区科学城小学北校区人工智能科创室专用装备采购项目竞争性磋商公告'],['[2020-10-13]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19975']
['441400-202010-mz159001-0020'],['梅州市12345政府服务热线平台升级改造项目公开招标公告'],['[2020-10-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19967']
['440200-202010-235012-0054'],['韶关市历史建筑测绘建档项目公开招标公告'],['[2020-10-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19966']
['GZQS2001HG07054M'],['梅县区白渡镇悦来村73.63KW分布式光伏发电扶贫项目（三期）公开招标公告'],['[2020-10-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19965']
['GZQS2001HC08100'],['天河边检站执勤现场视频监控系统升级改造项目竞争性磋商公告'],['[2020-10-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=19959']
